year,female,male
2004,14,61
2005,24,65
2006,25,86
2007,22,98
2008,16,77
2009,12,83
2010,24,74
2011,19,86
2012,19,63
2013,31,68
2014,32,86
2015,33,70
2016,28,76
2017,31,74
2018,33,75
2019,40,101
2020,45,79
